               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10985,            0.053557,            0.038943,            0.014855,            0.052797,           0.0057765,            0.001126,            0.076535,            0.045046,            0.029055,             0.00041,             0.00041,             0.09631
                   1,            0.096355,            0.055599,            0.034112,             0.02263,            0.084515,           0.0088164,           0.0020523,            0.067337,            0.050936,            0.025371,           0.0008254,           0.0008254,            0.092525
                   2,            0.089812,            0.060295,            0.031537,            0.046694,             0.10025,            0.026344,           0.0059182,            0.059291,            0.053721,            0.021244,           0.0012225,           0.0012225,            0.088722
                   3,            0.089936,            0.071999,            0.028242,             0.07845,              0.1958,            0.064379,            0.013774,            0.055841,            0.052393,            0.018378,           0.0015881,           0.0015881,            0.084888
                   4,            0.076561,            0.049697,            0.026778,             0.14539,             0.18381,             0.11369,            0.026729,            0.050605,            0.051115,            0.016091,           0.0019104,           0.0019104,             0.08101
                   5,            0.072694,            0.053273,            0.023036,             0.18816,             0.24547,             0.15905,            0.036502,            0.048292,            0.047512,            0.013967,           0.0021792,           0.0021792,            0.077079
                   6,            0.076968,            0.061865,             0.02376,             0.56497,             0.27377,             0.21483,            0.060094,            0.046851,            0.044023,            0.012536,           0.0023865,           0.0023865,            0.073086
                   7,            0.069017,            0.050551,            0.020188,             0.59803,             0.35973,             0.27326,            0.078391,            0.044085,            0.042594,            0.011543,           0.0025269,           0.0025269,            0.069027
                   8,            0.067285,            0.059926,            0.020473,             0.71837,             0.32159,             0.30658,             0.10019,            0.046462,            0.041574,            0.010699,           0.0025977,           0.0025977,            0.064898
                   9,            0.069081,             0.05175,            0.019698,             0.63356,             0.40288,             0.30336,               0.104,            0.047592,            0.040261,            0.010047,           0.0025995,           0.0025995,            0.060699
                  10,            0.066553,            0.047895,            0.016788,             0.62432,             0.36879,             0.30066,            0.088166,            0.044773,            0.038986,           0.0095638,           0.0025355,           0.0025355,            0.056435
                  11,            0.065743,            0.050233,            0.016591,              0.5817,             0.39616,             0.26919,            0.071557,             0.04631,            0.037545,           0.0090177,           0.0024124,           0.0024124,            0.052112
                  12,            0.064791,            0.051007,            0.016115,             0.71933,             0.39212,             0.40181,             0.12004,            0.041639,            0.038179,           0.0086513,           0.0022396,           0.0022396,             0.04774
                  13,            0.058869,            0.045689,            0.014473,             0.75611,             0.37786,             0.43172,             0.18315,            0.040253,            0.038497,           0.0083613,           0.0020293,           0.0020293,            0.043329
                  14,            0.060042,            0.044205,            0.016188,             0.74111,             0.43417,             0.47785,             0.17849,            0.039432,            0.038138,           0.0081805,           0.0017958,           0.0017958,            0.038896
                  15,            0.062081,            0.044858,            0.017625,             0.76805,             0.39479,             0.51043,             0.20913,            0.040426,            0.037619,           0.0080025,           0.0015554,           0.0015554,            0.034455
                  16,            0.063554,            0.061416,            0.014669,              0.7752,             0.40366,             0.53774,             0.20455,            0.037493,            0.038089,           0.0078627,           0.0013258,           0.0013258,            0.030026
                  17,            0.057262,            0.045551,            0.014644,              0.7239,             0.38849,             0.45325,             0.18482,            0.036429,            0.038156,           0.0076361,           0.0011253,           0.0011253,            0.025625
                  18,            0.055104,            0.047908,            0.017799,              0.7802,             0.41102,             0.55011,             0.24785,            0.033239,            0.038722,           0.0075307,          0.00097254,          0.00097254,            0.021273
                  19,            0.054432,            0.052793,              0.0126,             0.79141,             0.40839,             0.57374,             0.25431,            0.033963,            0.038637,            0.007504,          0.00088548,          0.00088548,            0.016985
